epoch,accuracy,learning_rate,loss,top3_acc,val_accuracy,val_loss,val_top3_acc
0,0.9295910596847534,0.0010000000474974513,0.20660501718521118,0.9936342835426331,0.9544752836227417,0.21599221229553223,0.9984567761421204
1,0.9666280746459961,0.0010000000474974513,0.08967329561710358,0.9998071193695068,0.9621913433074951,0.10315736383199692,0.9976851940155029
2,0.9728009104728699,0.0010000000474974513,0.07780004292726517,1.0,0.9652777910232544,0.09718727320432663,0.9992284178733826
3,0.9780092835426331,0.0010000000474974513,0.06002746894955635,1.0,0.959876537322998,0.13798950612545013,0.9992284178733826
4,0.9809027910232544,0.0010000000474974513,0.055053941905498505,1.0,0.966821014881134,0.09154702723026276,0.9992284178733826
5,0.9793595671653748,0.0010000000474974513,0.057670511305332184,1.0,0.9675925970077515,0.09025700390338898,0.9992284178733826
6,0.9830247163772583,0.0010000000474974513,0.05019902065396309,1.0,0.966821014881134,0.09456370770931244,0.9992284178733826
7,0.9807098507881165,0.0010000000474974513,0.053351227194070816,0.9996141791343689,0.9737654328346252,0.06898253411054611,0.9992284178733826
8,0.9841821193695068,0.0010000000474974513,0.04074573144316673,1.0,0.9652777910232544,0.10253694653511047,0.9992284178733826
9,0.9861111044883728,0.0010000000474974513,0.04045381769537926,1.0,0.9621913433074951,0.12358754128217697,0.9992284178733826
10,0.9855324029922485,0.0010000000474974513,0.038250721991062164,1.0,0.966821014881134,0.12541982531547546,0.9992284178733826
11,0.9874614477157593,0.0005000000237487257,0.0353393629193306,1.0,0.9645061492919922,0.10067779570817947,0.9992284178733826
12,0.9890046119689941,0.0005000000237487257,0.03363514691591263,1.0,0.9660493731498718,0.10162197053432465,0.9992284178733826
13,0.988811731338501,0.0005000000237487257,0.03431330621242523,1.0,0.9729938507080078,0.08844894170761108,0.9992284178733826
